latitude,longitude,area_in_meters,confidence
-33.513358,-70.780439,171.92,0.818
-33.453471,-70.640102,118.63,0.65
-33.511831,-70.754734,50.11,0.8875
-33.437205,-70.627783,42.68,0.65
-33.444447,-70.611375,39.24,0.8987
-33.397286,-70.592877,66.24,0.8557
-33.432413,-70.65383,99.09,0.9352
-33.440829,-70.639931,214.76,0.65
-33.463012,-70.774983,19.5,0.8265
-33.467301,-70.788108,20.25,0.942
-33.429806,-70.631647,37.63,0.9841
-33.52222,-70.777089,130.61,0.65
-33.435595,-70.761241,39.96,0.7243
-33.423533,-70.631759,22.35,0.8876
-33.438315,-70.629464,84.5,0.65
-33.453151,-70.776783,330.83,0.65
-33.468241,-70.761248,124.76,0.8411
-33.447321,-70.775264,95.06,0.9619
-33.523144,-70.767543,174.82,0.65
-33.443334,-70.636003,27.15,0.7754
-33.447667,-70.653713,178.66,0.9801
-33.395962,-70.556686,198.68,0.9014
-33.401681,-70.57172,144.18,0.733
-33.433069,-70.660605,176.05,0.65
-33.442173,-70.642137,737.44,0.8717
-33.454961,-70.638341,75.05,0.9797
-33.435092,-70.623454,117.46,0.8038
-33.437062,-70.663129,201.75,0.8775
-33.52645,-70.752981,75.79,0.65
-33.43141,-70.657688,208.88,0.8783
-33.434924,-70.79204,71.55,0.6832
-33.51304,-70.784053,92.27,0.896
-33.423022,-70.634642,15.38,0.8974
-33.451113,-70.661815,370.62,0.8705
-33.391711,-70.59748,65.34,0.8016
-33.507451,-70.784993,62.64,0.6701
-33.4549,-70.665895,24.16,0.7331
-33.435879,-70.607542,55.07,0.8527
-33.432957,-70.637654,54.93,0.8842
-33.403755,-70.599259,47.81,0.8249
-33.446488,-70.658642,325.81,0.6677
-33.525423,-70.749028,35.01,0.9403
-33.433265,-70.773193,107.09,0.7997
-33.453114,-70.799306,70.93,0.895
-33.424876,-70.639192,56.56,0.65
-33.395785,-70.583636,173.65,0.7431
-33.42093,-70.609517,645.75,0.65
-33.442311,-70.778587,47.13,0.8437
-33.443679,-70.628718,217.65,0.6677
-33.52948,-70.774305,364.2,0.65
-33.445702,-70.646008,69.13,0.7851
-33.44015,-70.647718,114.57,0.65
-33.426553,-70.621975,202.89,0.7115
-33.455618,-70.653674,33.12,0.65
-33.525234,-70.789266,40.61,0.8269
-33.430086,-70.639157,83.15,0.65
-33.490579,-70.7482,105.13,0.7835
-33.439128,-70.658872,183.11,0.9008
-33.458123,-70.648098,43.27,0.8991
-33.434909,-70.668287,113.63,0.7955
-33.399099,-70.576027,76.4,0.9262
-33.440789,-70.653173,126.59,0.986
-33.444924,-70.646216,28.02,0.8378
-33.43536,-70.809425,427.62,0.6985
-33.508499,-70.742603,34.08,0.8012
-33.516658,-70.770651,103.01,0.8445
-33.432545,-70.613549,246.41,0.8599
-33.424751,-70.613111,198.73,0.65
-33.432539,-70.635638,99.12,0.7037
-33.442254,-70.659745,75.86,0.7099
-33.435068,-70.624756,131.06,0.65
-33.443363,-70.77867,55.27,0.889
-33.431693,-70.620357,43.01,0.8608
-33.440813,-70.62242,63.35,0.7016
-33.420201,-70.616559,104.66,0.8181
-33.459768,-70.651476,96.07,0.65
-33.424438,-70.624962,231.59,0.8992
-33.496689,-70.744678,16.85,0.65
-33.451241,-70.631626,209.36,0.8531
-33.441962,-70.620476,35.97,0.8388
-33.443992,-70.604696,72.76,0.65
-33.46358,-70.788747,18.97,0.9395
-33.435627,-70.666721,218.81,0.8385
-33.447897,-70.638114,187.6,0.8101
-33.501037,-70.748857,96.18,0.65
-33.459655,-70.657929,24.86,0.8155
-33.438979,-70.638425,74.83,0.65
-33.407361,-70.571147,298.04,0.7512
-33.469554,-70.768018,55.05,0.7648
-33.424709,-70.635471,42.23,0.65
-33.495689,-70.748675,16.32,0.698
-33.457306,-70.630893,317.18,0.65
-33.450724,-70.776897,55.17,0.65
-33.505949,-70.743141,82.71,0.65
-33.442056,-70.639964,234.34,0.9948
-33.529324,-70.788597,119.36,0.6733
-33.398305,-70.557541,65.32,0.7091
-33.435387,-70.608702,201.8,0.8483
-33.440259,-70.788259,660.38,0.9659
-33.42968,-70.629893,305.91,0.9716
-33.452038,-70.807777,118.63,0.7226
-33.415374,-70.556577,38.66,0.8945
-33.442577,-70.605633,588.99,0.65
-33.491678,-70.749749,126.3,0.8102
-33.457785,-70.657222,139.02,0.65
-33.393917,-70.579067,40.94,0.65
-33.409808,-70.592363,146.48,0.8901
-33.438079,-70.626717,65.3,0.65
